id,title,description,link,image_link,price,availability,condition,brand
FAMILYSUPPORTBUNDLE,Family Support Bundle,"   
 This grouping of materials  includes resources to guide and support the patient/family though the end of life process.   
  Included in the bundle:  
 
  New Rules For End of Life Care DVD Kit  
  Gone From My Sight: The Dying Experience   
  The Eleventh Hour: A Caring Guide for Hours to Minutes Before Death  
  A Time to Live: Living with a Life Threatening Illness  
 How Do I Know You: Dementia at End of Life 
 Pain at End of Life: What You Need to Know About End of Life Comfort and Pain Management 
 My Friend I Care: The Grief Experience  
  The Final Act of Living   
  Knowledge Reduces Fear 1  
     Knowledge Reduces Fear 2    
 
   ",https://bkbooks.com/collections/booklet-bundles/products/family-support-bundle,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/FamilySupportBundle_540x.jpg?v=1614458985,66.0 USD,in stock,New,BK Books
KRF-2-ENGLISH,Knowledge Reduces Fear Volume 2: A Resource for End of Life Education," 
  Knowledge Reduces Fear  2 is the second book in a  printed collection of Barbara’s most popular posts from her award winning blog,      Something to Think About: A Blog on End of Life Care   . In these posts, Barbara responds to questions and concerns from the community; addressing a wide range of topics on end of life care.      
  Barbara believes that knowledge reduces fear and that in our society there is a considerable lack of knowledge about the normal, natural dying process.  Her blog is one of the ways she educates the public and helps neutralize the fear of death. 
    
   
 Barbara Karnes, RN, is an internationally respected speaker, educator, author, and thought leader on matters of end of life. She is a renowned authority on the dying process and a leading educator for families, healthcare professionals, and the community at large. 
 We can’t take away the sadness of death. However, talking about it actually alleviates unnecessary pain and stress - because knowledge reduces fear.  
   ",https://bkbooks.com/collections/book/products/knowledge-reduces-fear-volume-2-a-resource-for-end-of-life-education,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/Knowledge2FCProof2_540x.jpg?v=1613108059,6.0 USD,in stock,New,BK Books
CG Bundle,The Caregiver Bundle," This packet includes resources to support the professional, as well as educational materials to share with patient/ family and for use in community outreach. Ideal for end of life doulas, hospice volunteers, Stephen Ministries, and parish nurses.   
 
  New Rules   
  10 x End of Life Guideline Series   
  5 Dementia   
  Final Act   
  Care for the Caregiver   
 
  Market Value - $218.   
  Bundle Price - $170.   
  ",https://bkbooks.com/collections/booklet-bundles/products/the-caregiver-bundle?variant=36480755957916,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/Caregiver_Bundle_Thumb_Ver4_gray-01.jpg?v=1601413135,170.0 USD,in stock,New,BK Books
GONEFROMMYSIGNT-ENGLISH,Gone From My Sight: The Dying Experience," 
    
    “Gone From My Sight is a gift to all those seeking to understand death and the dying process. It is a valuable resource to both hospice staff and those they serve. We receive rave reviews from family members about The   Little Blue Book   that demystifies the stages of dying and leaves them feeling more prepared, and at ease, as their loved ones’ lives come to a close. Barbara Karnes, RN writes with great clarity and simplicity and this book is proof positive - good things come in small packages.”    - Betty Oldanie, RN, BSN, MS, Vice President of Planning, Suncoast Hospice   
   
  What are the signs of dying? Death from disease doesn't just occur; there is a process. People die in stages of months, weeks, days, and hours. Having this knowledge will help address the fear of death and dying that most of us bring to the bedside of a person who is dying.   
   Gone From My Sight    
 
   significantly improves CAHPS scores and family survey results  
   meets Medicare requirements for consistent family education  
   is a powerful marketing resource when branded with an agency logo or sticker  
 
  is   written in large print and non-medical terminology 
 
   is simple and direct, yet gentle  
   is available in 13 languages  
 
  Agencies use it along with its companion booklet,     The Eleventh Hour    , as part of their care plan to inform families of the stages of death.  
  With over 30 million copies sold, the    Little Blue Book    is the most beloved and widely used resource of its kind. Hospice pioneer Barbara Karnes, RN, wrote    Gone From My Sight    to help people understand the normal, natural stages of dying.  
  The most frequently asked question Barbara gets from families is “How long?”    Gone From My Sight    will give as close and accurate an answer to that question as can be provided.  
   
 This booklet is included in the      End of Life Guideline Series .   
   ",https://bkbooks.com/products/gone-from-my-sight-the-dying-experience?variant=36961181171868,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-gone-from-my-sight-the-dying-experience-1_9df59cec-8de2-4a27-931f-496553cf398e.jpg?v=1605743242,3.0 USD,in stock,New,BK Books
THEELEVENTHHOUR-ENGLISH,The Eleventh Hour: A Caring Guideline for the Hours to Minutes Before Death," 
   The Eleventh Hour  is the  companion booklet to   Gone From My Sight: The Dying Experience  . While  Gone  describes the dying process,  The Eleventh Hour  gives i deas for what to do, and say as well as how to care for the person who is approaching death.      
 Agencies/hospices put these two booklets together in their initial family packets to inform families on the stages of death and how to care for a loved one who is dying.  T hese booklets  meet Medicare requirements for consistent family education and  have been shown to significantly improve CAHPS scores and family survey results.   
   The Eleventh Hour  is a booklet that offers information, ideas and support for caregivers in the weeks, days, and hours before death and just after. Having this information inspires and empowers the caregiver while reducing fear.   
   The Eleventh Hour  is used for volunteer training in Transitional, Vigil and No One Dies Alone programs, for hospitals, for nursing facilities, parish nursing and Hospice and Palliative Care agencies. Most of all, it is for families faced with caring for their loved one at end of life.        
      Like all of Barbara's booklets,    The Eleventh Hour  is written in large print and the information is conveyed in a simple, direct yet gentle manner.  
   This booklet is included in the     End of Life Guideline Series .   ",https://bkbooks.com/products/the-eleventh-hour-a-caring-guideline-for-the-hours-to-minutes-before-death?variant=36961177075868,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-the-eleventh-hour-a-caring-guideline-for-the-hours-to-minutes-before-death-1_9e10ddd1-6a1d-4ada-a4c7-e05f2260ef93.jpg?v=1603643059,3.0 USD,in stock,New,BK Books
ATIMETOLIVE-ENGLISH,A Time to Live: Living with A Life-Threatening Illness," 
 For the newly diagnosed facing a life limiting illness. This booklet addresses issues of comfort, nutrition, and sleep as they relate to the palliative care patient. It provides guidance to help them live the best life they can within the confines of their body and disease.      
  When a person receives the diagnosis of a life-threatening illness, life as they know it ceases. They find themselves in uncharted territory with no script to follow. Too often they withdraw from the world, as if they have already died. All activity becomes centered on their living with disease and its treatment. Fear and uncertainty replaces confidence and self identity. The joys of living are more or less put on hold while living as long as possible is pursued.    
   A Time to Live  honors whatever life prolonging choices are being made while at the same time suggesting we look at the gifts life offers each day.     
   
   “Living"" -  what does that word really mean? Everyone has a different answer. Start with the idea that you are alive right now. If you are reading this booklet and have  a life threatening illness then you will be alive next week and probably next month. So, what do you want to do or say? What is keeping you from doing or saying it? How can those obstacles be overcome?   - Barbara Karnes, A  Time To Live  
   
  Like all of Barbara's booklets,    The Eleventh Hour  is written in large print and the information is conveyed in a simple, direct yet gentle manner.  
  This booklet is included in the     End of Life Guideline Series .   ",https://bkbooks.com/collections/booklets/products/a-time-to-live-living-with-a-life-threatening-illness?variant=36961174093980,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-a-time-to-live-living-with-a-life-threatening-illness-1_d01508e7-95a5-48a2-86f2-d2773f2a4208.jpg?v=1603643407,3.0 USD,in stock,New,BK Books
MYFRIENDICARE-ENGLISH,"My Friend, I Care: The Grief Experience"," 
 Intended for the newly grieving,  My Friend, I Care  addresses the normal process of grieving and the stages of grief while offering suggestions for moving forward into living.  
  The grieving process is as foreign to us as death. The experience is forced upon us by life situations that are beyond our control. We become angry, depressed, fearful and anxious. We do not know that all of these feelings together represent grief; a normal, natural response to the loss of someone or something.   No one has taught us what it feels like to grieve. We don’t know how to heal the hurt created by grief or how to live with it.   My Friend, I Care  offers simple explanations for the thoughts and feelings generated by grief.   
  Individuals as well as agencies often use  My Friend, I Care  as a sympathy card personalizing the booklet with signatures and condolences. It offers an expression of caring while giving support and guidance.  
  Like all of Barbara's booklets,  My Friend, I Care  is written in large print and the information is conveyed in a simple, direct yet gentle manner.  
   This booklet is included in the     End of Life Guideline Series .   ",https://bkbooks.com/collections/booklets/products/my-friend-i-care-the-grief-experience?variant=36961175863452,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-my-friend-i-care-the-grief-experience-1_bde0d2c7-568b-4df9-b748-cf41a52f448a.jpg?v=1600362691,3.0 USD,in stock,New,BK Books
IAMSTANDINGUPONTHESEASHORE-ENGLISH,"I Am Standing Upon the Seashore: End of Life Education, A Coloring Booklet"," 
 This end of life coloring booklet is used as art therapy for both adults and children.  I Am Standing Upon the Seashore  provides a concept of death using the metaphor of Henry van Dyke’s poem,  Gone From My Sight . 
  Poems and art often take us to places the rational mind can’t go. Poems about death and the   grieving process   can help grieving adults and children begin to neutralize some of the fear and cultural misconceptions most of us have concerning dying and death.   
  Engaging with a person through this coloring activity, we can simply and compassionately begin our conversation about the final good-bye.   The child in all of us can relate to these images as we are looking for meaning and comfort in the   stages of grief.      
  No matter the age of the reader, this booklet can offer understanding and reassurance to us when we or a loved one are facing death  .  I Am Standing Upon the Seashore  is simple yet profound and consoling.     ",https://bkbooks.com/collections/booklets/products/i-am-standing-upon-the-seashore-childrens-coloring-booklet?variant=36961175535772,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-i-am-standing-upon-the-seashore-end-of-life-education-a-coloring-booklet-1_c82180ec-bc8c-45d8-981a-8155ce086f6b_540x.jpg?v=1600362685,3.0 USD,in stock,New,BK Books
THETREEOFLIFE-ENGLISH,"The Tree of Life: End of Life Education, A Coloring Booklet and Family Tree"," 
 This end of life coloring book is used as art therapy for both adults and children.  The Tree of Life  provides a concept of death using the metaphor of nature and the cycle of life. (This booklet includes a family tree). 
 Poems and art often take us to places the rational mind can’t go. Poems about death and the  grieving process  can help grieving adults and children begin to neutralize some of the fear and cultural misconceptions most of us have concerning dying and death. 
 Engaging with a person through this coloring activity, we can simply and compassionately begin our conversation about the final good-bye. The child in all of us can relate to these images as we are looking for meaning and comfort in the  stages of grief.   
 No matter the age of the reader, it can bring understanding and reassurance to us when we or a loved one is on hospice and journeying into the  stages of death .  The Tree of Life  is simple yet profound and consoling.  
   ",https://bkbooks.com/collections/booklets/products/the-tree-of-life-childrens-coloring-booklet-and-family-tree?variant=36961177338012,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-the-tree-of-life-end-of-life-education-a-coloring-booklet-and-family-tree-1_63b7a6c1-8eb8-43a7-b0f4-d158fc58a165_540x.jpg?v=1600362683,3.0 USD,in stock,New,BK Books
EOL 5-1,End of Life Guideline Series: A Compilation of Barbara Karnes Booklets,"  
 The  End of Life Guideline Series  is a  compilation of five of our most popular hospice and palliative care books.   T  hese resources   meet Medicare requirements for consistent family education and   have been shown to significantly improve CAHPS scores and family survey results.     
         The series includes the following books.  
  1.  A Time to Live: Living with a Life Threatening Illness   
  For the newly diagnosed facing a life limiting illness, this booklet addresses issues of comfort, nutrition, and sleep as they relate to the palliative care patient. It provides guidance to help them live the best life they can within the confines of their body and disease.   
  2.  Gone From My Sight: The Dying Experience    
  With over 30 million copies sold, the ""Little Blue Book"" is the most beloved and widely used resource of its kind. This educational handout guides the family through the stages of the dying process over   months, weeks, days, and hours. Agencies nationwide use this booklet as part of their end of life care plan.  
  3.  The Eleventh Hour: A Caring Guideline For the Hours to Minutes Before Death     
  Companion booklet to    Gone From My Sight,     The Eleventh Hour    explains what to do and how to care for your loved one during the end of life process.   Agencies nationwide use this booklet as part of their end of life care plan.  
   4. Pain at End of Life: What You Need to Know About End of Life Comfort and Pain     Management      
  Intended for  families and professionals dealing with narcotics and pain management as end of life approaches. Addresses fear of overdosing and addiction, around the clock administration, standardized dosages, uses of morphine, and more. 
  5.  My Friend, I Care: The Grief Experience                                        
  Addresses the normal process of grief while offering suggestions for moving forward into living. Often used as a sympathy card by professional agencies, religious organizations and individuals.   
   
  The End of Life Guideline Series  prepares its readers for the natural, normal process of dying and grief. You can find comfort in these books on end of life even years after the death of a loved one, as we often have unresolved questions and concerns. 
   Like all of Barbara's booklets, t  his series   is written in large print and the information is conveyed in a simple, direct yet gentle manner.  
     ",https://bkbooks.com/collections/booklet-bundles/products/end-of-life-guideline-series-a-compilation-of-barbara-karnes-booklets?variant=36961175011484,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/EOL-Series-Cover_b5d5863c-2ccb-48f7-870b-9b33a24d9429.jpg?v=1605740362,13.0 USD,in stock,New,BK Books
